neighbourhood_group,neighbourhood,room_type,price_per_night,minimum_nights_to_book,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Manhattan,East Village,Entire home/apt,151,2,214,2.53,3,256
Manhattan,Lower East Side,Entire home/apt,220,2,146,3.45,1,112
Queens,Elmhurst,Private room,41,2,44,5.24,1,123
Brooklyn,Bedford-Stuyvesant,Private room,59,4,1,1.0,2,15
Brooklyn,Park Slope,Entire home/apt,200,2,2,0.05,1,0
Manhattan,West Village,Private room,100,4,1,0.04,1,0
Brooklyn,Bay Ridge,Entire home/apt,200,2,5,2.42,2,161
Brooklyn,Williamsburg,Private room,75,2,1,0.02,1,0
Brooklyn,Flatlands,Entire home/apt,85,1,21,2.26,1,82
Queens,Forest Hills,Entire home/apt,100,1,1,0.02,1,0
Manhattan,Hell's Kitchen,Entire home/apt,149,4,1,0.16,1,0
Manhattan,Hell's Kitchen,Entire home/apt,180,1,41,4.73,3,30
Manhattan,West Village,Entire home/apt,200,5,1,0.02,1,0
Brooklyn,Gowanus,Entire home/apt,198,2,103,1.62,1,299
Manhattan,SoHo,Entire home/apt,16,3,3,0.16,1,0
Brooklyn,Sunset Park,Private room,40,2,20,2.83,1,349
Manhattan,SoHo,Entire home/apt,170,2,17,0.84,1,6
Brooklyn,Crown Heights,Private room,50,4,2,0.05,1,0
Brooklyn,Bushwick,Entire home/apt,93,3,5,0.78,1,0
Manhattan,Washington Heights,Private room,75,2,167,4.6,3,310
Manhattan,Upper East Side,Private room,90,1,4,0.09,1,0
Manhattan,Two Bridges,Private room,150,3,3,2.43,3,4
Queens,Arverne,Private room,200,2,70,1.48,1,90
Brooklyn,Windsor Terrace,Entire home/apt,90,1,11,7.17,1,3
Brooklyn,Williamsburg,Entire home/apt,152,1,334,5.2,1,269
Manhattan,Midtown,Private room,102,1,1,1.0,1,353
Manhattan,Hell's Kitchen,Entire home/apt,299,4,8,2.89,1,61
Brooklyn,Williamsburg,Private room,200,4,9,0.25,1,89
Bronx,Fordham,Private room,75,1,1,1.0,1,363
Manhattan,Kips Bay,Entire home/apt,135,7,2,0.04,1,0
Brooklyn,Clinton Hill,Private room,45,1,4,1.88,2,135
Brooklyn,Crown Heights,Entire home/apt,90,3,3,1.18,1,7
Manhattan,Harlem,Private room,73,4,69,1.77,2,122
Brooklyn,Kensington,Private room,67,1,29,1.79,2,143
Manhattan,Upper East Side,Entire home/apt,165,30,4,0.29,1,203
Queens,Glendale,Entire home/apt,135,3,7,2.0,1,120
Manhattan,West Village,Entire home/apt,250,2,23,0.58,1,0
Brooklyn,Williamsburg,Entire home/apt,225,2,124,5.71,3,106
Brooklyn,Williamsburg,Entire home/apt,100,6,3,0.07,1,0
Manhattan,Battery Park City,Shared room,55,1,205,3.04,1,326
Brooklyn,Crown Heights,Entire home/apt,165,30,3,0.09,1,365
Manhattan,Hell's Kitchen,Entire home/apt,125,1,186,3.28,1,193
Brooklyn,Williamsburg,Private room,80,5,1,0.04,1,0
Brooklyn,Bedford-Stuyvesant,Private room,50,3,6,0.14,1,10
Brooklyn,Williamsburg,Private room,70,5,1,0.37,3,4
Brooklyn,Bushwick,Entire home/apt,80,2,21,3.71,1,154
Brooklyn,Bedford-Stuyvesant,Private room,55,3,23,1.69,1,0
Manhattan,East Harlem,Private room,69,1,4,0.78,2,60
Brooklyn,Bushwick,Entire home/apt,200,3,6,0.22,1,194
Manhattan,East Harlem,Private room,75,1,5,0.11,1,0
Queens,Astoria,Private room,27,30,3,0.07,1,0
Manhattan,Midtown,Entire home/apt,150,2,2,0.17,1,0
Queens,Jamaica,Entire home/apt,174,1,67,1.81,2,340
Queens,South Ozone Park,Entire home/apt,115,1,23,5.95,1,66
Brooklyn,Crown Heights,Private room,80,3,2,0.09,1,0
Manhattan,Midtown,Entire home/apt,150,7,29,0.86,1,31
Brooklyn,Bushwick,Private room,70,3,5,0.14,1,0
Brooklyn,Fort Greene,Entire home/apt,265,31,33,1.2,1,281
Brooklyn,Cobble Hill,Private room,85,10,19,1.06,1,0
Bronx,North Riverdale,Private room,53,2,143,2.13,1,263
Manhattan,Upper West Side,Entire home/apt,300,5,3,0.08,1,9
Brooklyn,Crown Heights,Entire home/apt,88,30,1,0.3,3,34
Manhattan,Upper East Side,Private room,120,1,2,2.0,1,311
Manhattan,Kips Bay,Entire home/apt,152,270,5,0.1,1,0
Queens,Arverne,Entire home/apt,150,2,22,2.04,1,118
Manhattan,Kips Bay,Entire home/apt,130,30,1,1.0,1,54
Manhattan,West Village,Entire home/apt,200,2,10,0.68,1,0
Brooklyn,Bedford-Stuyvesant,Private room,72,2,151,3.23,3,288
Brooklyn,Park Slope,Entire home/apt,145,5,18,0.5,1,0
Manhattan,Upper East Side,Entire home/apt,125,30,9,0.82,1,4
Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,1,3,0.06,1,0
Brooklyn,Downtown Brooklyn,Private room,85,4,13,0.54,1,5
Manhattan,Upper West Side,Private room,99,1,7,0.61,1,0
Queens,East Elmhurst,Private room,45,3,19,1.67,2,0
Brooklyn,Bushwick,Entire home/apt,150,1,3,0.05,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,2,1,1.0,2,5
Brooklyn,Bedford-Stuyvesant,Private room,75,2,26,3.66,2,21
Brooklyn,Crown Heights,Entire home/apt,250,2,10,0.22,2,365
Brooklyn,Flatbush,Entire home/apt,120,4,1,0.48,1,0
Queens,Howard Beach,Private room,40,1,3,0.47,1,20
Brooklyn,Bedford-Stuyvesant,Entire home/apt,139,2,124,2.09,1,231
Brooklyn,Clinton Hill,Entire home/apt,176,5,12,0.31,1,236
Brooklyn,Greenpoint,Private room,75,8,6,0.14,1,0
Manhattan,Hell's Kitchen,Entire home/apt,175,4,1,0.03,1,0
Brooklyn,Williamsburg,Entire home/apt,280,7,82,0.98,1,41
Manhattan,Upper East Side,Private room,99,3,79,2.75,1,107
Manhattan,Harlem,Entire home/apt,220,2,1,1.0,1,214
Brooklyn,Bushwick,Private room,55,1,8,0.17,1,0
Brooklyn,Greenpoint,Private room,90,2,1,0.59,1,63
Brooklyn,Bushwick,Entire home/apt,99,3,9,0.23,1,42
Manhattan,West Village,Entire home/apt,300,2,2,0.31,3,14
Manhattan,Kips Bay,Entire home/apt,180,5,8,0.41,1,0
Brooklyn,Crown Heights,Entire home/apt,100,50,8,0.33,1,0
Brooklyn,Canarsie,Entire home/apt,85,7,11,0.64,1,1
Brooklyn,Crown Heights,Entire home/apt,80,2,17,0.39,1,0
Manhattan,East Village,Private room,105,3,1,0.05,2,0
Queens,Woodside,Private room,55,2,3,0.12,1,0
Brooklyn,Bushwick,Private room,40,3,8,1.9,1,0
Manhattan,West Village,Entire home/apt,250,2,5,0.14,1,0
Queens,Springfield Gardens,Private room,50,1,29,4.53,2,347
Brooklyn,Crown Heights,Entire home/apt,85,2,57,4.62,1,110
Brooklyn,Greenpoint,Private room,54,2,2,0.08,1,0
Manhattan,SoHo,Private room,200,1,16,0.83,2,365
Manhattan,Hell's Kitchen,Private room,150,1,1,0.05,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,122,2.14,1,269
Manhattan,Washington Heights,Shared room,40,2,14,2.82,2,0
Manhattan,Financial District,Entire home/apt,189,3,2,2.0,1,339
Brooklyn,Gowanus,Entire home/apt,100,3,13,1.9,1,0
Manhattan,Tribeca,Private room,100,1,15,0.34,2,0
Manhattan,East Harlem,Private room,140,1,1,0.05,2,177
Bronx,Mount Hope,Private room,39,1,33,1.93,1,8
Brooklyn,Gowanus,Entire home/apt,115,1,2,2.0,2,93
Manhattan,East Village,Private room,60,7,6,0.18,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,179,3,149,2.33,1,242
Manhattan,Murray Hill,Private room,120,4,3,0.26,1,0
Queens,Sunnyside,Private room,60,7,11,0.22,1,0
Bronx,Tremont,Shared room,25,2,5,1.6,1,146
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,20,1.67,2,357
Brooklyn,Crown Heights,Entire home/apt,110,2,26,2.21,2,267
Brooklyn,Bedford-Stuyvesant,Private room,66,1,3,0.36,3,0
Brooklyn,East New York,Private room,125,1,12,0.68,3,89
Manhattan,Upper East Side,Entire home/apt,210,3,3,1.7,1,52
Manhattan,Harlem,Private room,85,1,9,0.24,1,0
Brooklyn,Williamsburg,Entire home/apt,299,2,18,0.38,1,0
Brooklyn,Fort Hamilton,Entire home/apt,200,2,8,0.63,1,177
Manhattan,Upper West Side,Private room,38,3,1,0.03,1,0
Queens,Elmhurst,Private room,55,2,8,0.9,2,315
Brooklyn,Clinton Hill,Entire home/apt,43,3,7,0.38,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,7,1,0.02,1,0
Brooklyn,Flatbush,Entire home/apt,80,3,32,0.85,1,0
Brooklyn,Williamsburg,Private room,60,4,3,0.12,1,0
Brooklyn,Flatbush,Entire home/apt,128,3,2,0.07,1,0
Manhattan,Harlem,Entire home/apt,125,1,64,1.37,1,135
Queens,Bay Terrace,Private room,90,3,8,0.25,2,324
Brooklyn,Flatbush,Entire home/apt,65,2,1,0.08,1,0
Manhattan,Upper East Side,Private room,250,3,22,2.55,1,0
Brooklyn,Windsor Terrace,Entire home/apt,250,1,2,0.18,1,0
Brooklyn,Crown Heights,Private room,70,2,1,0.1,1,0
Brooklyn,Williamsburg,Entire home/apt,250,1,1,0.03,1,0
Brooklyn,East Flatbush,Entire home/apt,109,30,23,0.46,2,188
Brooklyn,Bedford-Stuyvesant,Entire home/apt,249,3,12,4.19,1,38
Brooklyn,Prospect-Lefferts Gardens,Private room,65,1,69,4.4,1,0
Brooklyn,Williamsburg,Private room,99,2,7,0.24,1,0
Brooklyn,Williamsburg,Entire home/apt,99,1,2,0.04,1,0
Manhattan,East Harlem,Private room,100,1,58,0.83,2,316
Brooklyn,Bedford-Stuyvesant,Private room,35,10,3,0.48,1,5
Manhattan,Roosevelt Island,Private room,150,2,14,2.25,1,7
Manhattan,Chinatown,Entire home/apt,190,5,8,0.3,1,81
Queens,Long Island City,Entire home/apt,79,3,43,1.35,1,105
